time|mgrs_grid_id|gnodeb_id|cell_id|svid_tot_vid_download_dv|svid_tot_dl_vid_tcp_rtt|svid_tot_dl_vid_pkts_for_tcp_rtt|svid_tot_dl_tcp_pkts|svid_tot_dl_retrans_tcp_pkts|svid_tot_dl_vid_tcp_rtt_x_th|svid_tot_dl_vid_tcp_syn2synack_dly|svid_tot_dl_vid_tcp_est_syn2synack|svid_tot_dl_vid_tcp_synack2ack_dly|svid_tot_dl_vid_tcp_est_synack2ack|svid_tot_dl_vid_tcp_ack2data_dly|svid_tot_dl_vid_tcp_est_ack2data|total_mr_count|dl_ssb_rsrp_accumulated|dl_sinr_accumulated|ul_rsrp_accumulated|ul_sinr_accumulated|ul_ssb_rsrp_valid_count|ul_sinr_valid_count|dl_sinr_valid_count|dl_ssb_rsrp_valid_count|dl_ssb_rsrp_poor_count|dl_sinr_poor_count|dl_ssb_rsrp_and_sinr_valid_count|dl_ssb_rsrp_good_and_sinr_poor_count|dl_ssb_rsrp_poor_and_sinr_poor_count|ul_rsrp_poor_count|ul_sinr_poor_count|ul_rsrp_and_sinr_valid_count|ul_rsrp_good_and_sinr_poor_count|ul_rsrp_poor_and_sinr_poor_count|dl_cqi_cw0_accumulated|dl_cqi_cw0_count|dl_cqi_cw1_accumulated|dl_cqi_cw1_count|ul_mcs_accumulated|dl_mcs_accumulated|ul_mcs_tb_count|dl_mcs_tb_count|ul_rb_accumulated|dl_rb_accumulated|ul_rb_schd_count|dl_rb_schd_count|dl_rank1_count|dl_rank2_count|dl_rank3_count|dl_rank4_count
20260201|49QGF-43-36-50|7340000|14|4300800|72428|1906|15248|131|248|642.28|66|1585.69|64|5774.82|11|1879|-15166|942|-17505.5|690.8|157|157|157|157|0|6|157|4|0|0|6|157|4|0|2355|157|1410|94|21424|66556|1383|1928|108148|216295|14158|23597|10|22|0|2
20260201|49QGF-44-36-50|7340000|2|3341414.4|201150|4470|44700|697|671|527.89|19|1809.39|24|8000.86|40|857|-6518|688.7|-7810|809.4|71|71|71|71|0|3|71|12|0|0|3|71|12|0|1065|71|645|43|13988|25648|280|741|132870|265739|15187|25312|19|14|1|1
20260201|49QGF-45-36-50|7340000|7|3794227.2|557738|7537|60296|2309|2336|2254.97|0|1174.36|76|8097.95|0|296|-2472|-25|-2945|-2.5|25|25|25|25|0|7|25|2|0|0|7|25|2|0|325|25|195|15|17204|27100|253|1321|29040|58079|4357|7262|5|33|1|5
20260201|49QGF-46-36-50|7340000|20|3862732.8|13104|312|2808|35|47|1596.92|54|1122.12|41|4383.68|40|1402|-11454|608.4|-13794.3|795.6|117|117|117|117|0|21|117|20|0|0|21|117|20|0|1521|117|910|70|3720|62088|770|3696|137694|275387|19792|32986|15|33|9|5
20260201|49QGF-47-36-50|7340000|8|3775897.6|334927|7789|77890|701|1090|708.09|50|652.67|26|7859.16|62|1141|-9367|1064|-11457|446.5|95|95|95|95|0|0|95|10|0|0|0|95|10|0|1425|95|855|57|14300|106008|1606|1446|144464|288928|18452|30754|13|38|4|4
20260201|49QGF-48-36-50|7340000|7|4300800|245812|8779|70232|225|615|616.91|28|267.06|39|8139.56|2|1523|-12522|774.7|-14897.1|990.6|127|127|127|127|0|9|127|1|0|0|9|127|1|0|1778|127|1064|76|33050|92799|596|2381|1325|2649|261|435|2|39|3|5
20260201|49QGF-49-36-50|7340001|5|4300800|455840|11396|102564|1036|1595|2162.67|59|394.43|31|90.89|27|1234|-8776|360.5|-10248.5|391.4|103|103|103|103|0|19|103|19|0|0|19|103|19|0|1339|103|806|62|29256|12402|1487|2216|12190|24379|2410|4017|0|9|10|2
20260201|49QGF-50-36-50|7340001|19|3713024|544542|11586|139032|2322|2085|2053.32|12|1471.31|20|3059.21|59|1510|-10811|365.4|-13116.6|604.8|126|126|126|126|0|27|126|30|0|0|27|126|30|0|1638|126|988|76|6946|43400|405|1934|163364|326728|20011|33351|12|34|10|6
20260201|49QGF-51-36-50|7340001|10|2094182.4|464835|13281|106248|1073|1461|1306.62|2|667.42|55|7230.23|64|873|-6103|394.2|-7446|503.7|73|73|73|73|0|9|73|4|0|0|9|73|4|0|1022|73|616|44|7725|43875|1526|1105|37629|75257|7167|11945|22|4|3|4
20260201|49QGF-52-36-50|7340001|3|2699468.8|139510|3986|31888|364|518|1155.75|65|1173.18|11|1788.88|21|1925|-14640|240|-18224|368|160|160|160|160|0|52|160|86|0|0|52|160|86|0|1920|160|1152|96|42834|44880|1229|3637|93126|186252|19445|32409|4|39|3|2
