grid_id,churn_users,churn_prob,downgrade_users
49QGF-43-36-50,1,0.29,1
49QGF-44-36-50,4,0.14,5
49QGF-45-36-50,5,0.27,6
49QGF-46-36-50,6,0.26,8
49QGF-48-36-50,2,0.23,3
49QGF-49-36-50,2,0.26,3
49QGF-50-36-50,5,0.25,6
49QGF-51-36-50,1,0.27,1
49QGF-52-36-50,6,0.28,6
49QGF-53-36-50,3,0.26,5
49QGF-54-36-50,8,0.28,11
49QGF-55-36-50,3,0.23,5
49QGF-56-36-50,4,0.26,4
49QGF-57-36-50,1,0.1,1
49QGF-60-36-50,1,0.07,1
49QGF-61-36-50,4,0.18,4
49QGF-63-36-50,2,0.13,3
49QGF-64-36-50,1,0.06,1
49QGF-65-36-50,1,0.03,1
49QGF-66-36-50,5,0.17,8
49QGF-67-36-50,4,0.29,4
49QGF-68-36-50,1,0.25,1
49QGF-69-36-50,2,0.26,2
49QGF-70-36-50,1,0.18,1
49QGF-71-36-50,3,0.18,5
49QGF-73-36-50,6,0.31,9
49QGF-76-36-50,1,0.07,1
49QGF-77-36-50,1,0.07,1
49QGF-79-36-50,5,0.2,7
49QGF-81-36-50,1,0.08,1
49QGF-83-36-50,2,0.3,2
49QGF-84-36-50,8,0.31,10
49QGF-85-36-50,9,0.36,16
49QGF-86-36-50,1,0.19,1
49QGF-87-36-50,6,0.42,9
49QGF-88-36-50,3,0.16,3
49QGF-90-36-50,3,0.22,4
49QGF-91-36-50,1,0.22,2
49QGF-92-36-50,6,0.28,8
49QGF-93-36-50,1,0.22,1
49QGF-94-36-50,3,0.34,5
49QGF-95-36-50,7,0.31,10
49QGF-96-36-50,2,0.11,3
49QGF-97-36-50,1,0.14,1
49QGF-98-36-50,7,0.26,9
49QGF-99-36-50,1,0.11,2
49QGF-100-36-50,4,0.18,6
49QGF-101-36-50,7,0.28,12
49QGF-102-36-50,5,0.35,6
49QGF-103-36-50,2,0.29,2
49QGF-104-36-50,2,0.15,3
49QGF-105-36-50,1,0.08,1
49QGF-106-36-50,5,0.2,9
49QGF-107-36-50,5,0.29,8
49QGF-109-36-50,1,0.1,2
49QGF-110-36-50,1,0.13,2
49QGF-111-36-50,4,0.16,7
49QGF-112-36-50,2,0.14,2
49QGF-113-36-50,1,0.26,2
49QGF-114-36-50,1,0.04,2
49QGF-117-36-50,2,0.1,3
49QGF-119-36-50,1,0.02,1
49QGF-120-36-50,2,0.08,3
49QGF-121-36-50,2,0.07,3
49QGF-122-36-50,1,0.04,2
49QGF-124-36-50,1,0.09,2
49QGF-125-36-50,1,0.16,1
49QGF-126-36-50,1,0.08,1
49QGF-127-36-50,1,0.3,2
49QGF-128-36-50,12,0.42,15
49QGF-129-36-50,8,0.28,10
49QGF-130-36-50,6,0.24,10
49QGF-131-36-50,7,0.26,12
49QGF-132-36-50,3,0.28,4
49QGF-133-36-50,3,0.23,5
49QGF-134-36-50,4,0.33,5
49QGF-135-36-50,4,0.38,6
49QGF-43-37-50,6,0.23,7
49QGF-44-37-50,1,0.17,2
49QGF-45-37-50,5,0.26,6
49QGF-46-37-50,1,0.26,2
49QGF-47-37-50,7,0.26,8
49QGF-48-37-50,6,0.26,7
49QGF-49-37-50,1,0.12,2
49QGF-50-37-50,6,0.3,10
49QGF-51-37-50,2,0.29,2
49QGF-52-37-50,4,0.28,4
49QGF-53-37-50,4,0.26,5
49QGF-54-37-50,6,0.24,10
49QGF-55-37-50,3,0.22,5
49QGF-56-37-50,4,0.28,5
49QGF-57-37-50,1,0.05,1
49QGF-58-37-50,5,0.18,8
49QGF-59-37-50,2,0.08,3
49QGF-63-37-50,1,0.07,1
49QGF-64-37-50,2,0.09,3
49QGF-65-37-50,1,0.16,2
49QGF-66-37-50,4,0.22,5
49QGF-67-37-50,2,0.23,2
49QGF-68-37-50,4,0.15,6
49QGF-69-37-50,5,0.19,6
49QGF-70-37-50,1,0.06,1
49QGF-71-37-50,3,0.14,5
49QGF-72-37-50,1,0.06,2
49QGF-73-37-50,2,0.21,3
49QGF-75-37-50,2,0.08,2
49QGF-76-37-50,3,0.19,5
49QGF-80-37-50,3,0.16,4
49QGF-81-37-50,1,0.03,2
49QGF-82-37-50,3,0.23,3
49QGF-84-37-50,9,0.36,9
49QGF-85-37-50,5,0.21,8
49QGF-86-37-50,3,0.15,3
49QGF-87-37-50,2,0.42,3
49QGF-88-37-50,6,0.35,10
49QGF-91-37-50,2,0.38,3
49QGF-92-37-50,2,0.27,3
49QGF-93-37-50,1,0.14,1
49QGF-94-37-50,2,0.17,2
49QGF-95-37-50,6,0.4,9
49QGF-96-37-50,9,0.41,15
49QGF-97-37-50,1,0.08,1
49QGF-98-37-50,2,0.11,2
49QGF-99-37-50,3,0.35,4
49QGF-100-37-50,7,0.34,9
49QGF-101-37-50,2,0.41,3
49QGF-102-37-50,1,0.29,2
